0,Name,Latitude,Longitude
1,Man Over Board,0,0
2,Largs Marina,55.7727479,-4.8617325
3,Largs Berth,55.773427,-4.857788
4,Rothersay Marina,55.8385404,-5.0513801
5,Largs Channel 1,55.771418,-4.875898
6,Largs Channel 2,55.754516,-4.8874
7,Largs Channel 3,55.740024,-4.904394
8,Largs Channel 4,55.723012,-4.921732
9,Largs Channel 5,55.697093,-4.93186
10,Brodick Ferry,55.577373,-5.138969
11,Firth of Clyde South,55.678563,-5.03829
12,Portavedie Tarbert Midpoint,55.842372,-5.325308
13,Crinnan South Entrance,56.012782,-5.442939
14,Crinnan North Entrance,56.091903,-5.556118
15,Abeam Brodick bay,55.60472,-5.023491
16,South East corner,55.413643,-5.023491
17,South West Corner,55.413643,-5.416096
18,North west quarter,55.675756,-5.416096
19,Northern tip of Arran,55.755148,-5.228699
20,Channel return,55.676565,-4.960528
